date,neg,neu,pos
2021/3/3,0.29,0.618,0.092
2021/3/4,0.316,0.594,0.09
2021/3/5,0.27,0.632,0.098
2021/3/6,0.314,0.602,0.084
2021/3/7,0.302,0.598,0.1
2021/3/8,0.274,0.614,0.112
2021/3/9,0.27,0.598,0.132
2021/3/10,0.254,0.65,0.096
2021/3/11,0.288,0.644,0.068
2021/3/12,0.33,0.562,0.108
2021/3/13,0.312,0.568,0.12
2021/3/14,0.278,0.63,0.092
2021/3/15,0.3,0.582,0.118
2021/3/16,0.332,0.548,0.12
2021/3/17,0.356,0.538,0.106
2021/3/18,0.326,0.576,0.098
2021/3/19,0.328,0.568,0.104
2021/3/20,0.36,0.55,0.09
2021/3/21,0.33,0.572,0.098
2021/3/22,0.332,0.566,0.102
2021/3/23,0.334,0.58,0.086
2021/3/24,0.308,0.578,0.114
2021/3/25,0.28,0.61,0.11
2021/3/26,0.35,0.568,0.082
2021/3/27,0.248,0.628,0.124
2021/3/28,0.322,0.564,0.114
2021/3/29,0.322,0.566,0.112
2021/3/30,0.328,0.576,0.096
2021/3/31,0.32,0.582,0.098
2021/4/1,0.318,0.584,0.098
2021/4/2,0.276,0.604,0.12
2021/4/3,0.294,0.598,0.108
2021/4/4,0.32,0.554,0.126
2021/4/5,0.292,0.586,0.118
2021/4/6,0.278,0.588,0.134
2021/4/7,0.336,0.57,0.094
2021/4/8,0.308,0.544,0.148
2021/4/9,0.28,0.602,0.118
2021/4/10,0.3,0.58,0.12
2021/4/11,0.294,0.61,0.096
2021/4/12,0.314,0.582,0.104
2021/4/13,0.342,0.57,0.088
2021/4/14,0.33,0.582,0.088
2021/4/15,0.308,0.578,0.114
2021/4/16,0.334,0.588,0.078
2021/4/17,0.332,0.564,0.104
2021/4/18,0.334,0.556,0.11
2021/4/19,0.268,0.614,0.118
2021/4/20,0.28,0.592,0.128
2021/4/21,0.306,0.586,0.108
2021/4/22,0.318,0.582,0.1
2021/4/23,0.274,0.626,0.1
2021/4/24,0.346,0.566,0.088
2021/4/25,0.376,0.52,0.104
2021/4/26,0.31,0.604,0.086
2021/4/27,0.326,0.602,0.072
2021/4/28,0.308,0.578,0.114
2021/4/29,0.298,0.596,0.106
2021/4/30,0.322,0.574,0.104
2021/5/1,0.334,0.578,0.088
2021/5/2,0.336,0.578,0.086
2021/5/3,0.368,0.55,0.082
2021/5/4,0.298,0.598,0.104
2021/5/5,0.31,0.58,0.11
2021/5/6,0.344,0.566,0.09
2021/5/7,0.38,0.532,0.088
2021/5/8,0.34,0.564,0.096
2021/5/9,0.33,0.546,0.124
2021/5/10,0.338,0.562,0.1
2021/5/11,0.316,0.596,0.088
2021/5/12,0.306,0.576,0.118
2021/5/13,0.316,0.602,0.082
2021/5/14,0.394,0.54,0.066
2021/5/15,0.328,0.568,0.104
2021/5/16,0.338,0.584,0.078
2021/5/17,0.354,0.576,0.07
2021/5/18,0.296,0.586,0.118
2021/5/19,0.302,0.58,0.118
2021/5/20,0.328,0.586,0.086
2021/5/21,0.334,0.554,0.112
2021/5/22,0.302,0.58,0.118
2021/5/23,0.31,0.596,0.094
2021/5/24,0.324,0.602,0.074
2021/5/25,0.34,0.558,0.102
2021/5/26,0.312,0.632,0.056
2021/5/27,0.342,0.586,0.072
2021/5/28,0.338,0.576,0.086
2021/5/29,0.342,0.566,0.092
2021/5/30,0.34,0.566,0.094
2021/5/31,0.318,0.58,0.102
2021/6/1,0.298,0.602,0.1
2021/6/2,0.352,0.558,0.09
2021/6/3,0.318,0.582,0.1
